countryName;var_code;var_year;var_indicator;value
Germany;DEU;2016;NBM_5;14,82
Germany;DEU;2019;NBM_5;14,88
Germany;DEU;2014;NBM_5;15,12
Germany;DEU;2018;NBM_5;15,20
Germany;DEU;2015;NBM_5;15,29
Germany;DEU;2017;NBM_5;15,29
China;CHN;2019;NBM_5;20,62
China;CHN;2018;NBM_5;21,67
India;IND;2019;NBM_5;215,78
China;CHN;2017;NBM_5;22,74
China;CHN;2016;NBM_5;22,94
India;IND;2018;NBM_5;221,18
India;IND;2017;NBM_5;228,68
China;CHN;2015;NBM_5;23,80
India;IND;2016;NBM_5;235,89
India;IND;2015;NBM_5;245,63
China;CHN;2014;NBM_5;25,71
India;IND;2014;NBM_5;257,58
SouthÿAfrica;ZAF;2019;NBM_5;390,02
Angola;AGO;2019;NBM_5;418,90
Angola;AGO;2018;NBM_5;429,60
Angola;AGO;2017;NBM_5;441,33
SouthÿAfrica;ZAF;2018;NBM_5;456,79
Angola;AGO;2016;NBM_5;459,11
Angola;AGO;2015;NBM_5;482,52
SouthÿAfrica;ZAF;2017;NBM_5;498,96
Angola;AGO;2014;NBM_5;500,43
SouthÿAfrica;ZAF;2016;NBM_5;540,42
SouthÿAfrica;ZAF;2015;NBM_5;602,92
SouthÿAfrica;ZAF;2014;NBM_5;673,42
